source_record_id,vehicle_ref,owner_first_name,owner_last_name,event_type,event_state,event_date
TTL-HO65758V6F,VH-3394103305,SYNGIV-Jlvzg,SYNFAM-Deptypc,title_record,DE,2021-12-19
TTL-I70B1XF3Q3,VH-3394103305,SYNGIV-Jlvzg,SYNFAM-Deptypc,ownership_change,DE,2023-09-05
TTL-6P1SW4FHCP,VH-3394103305,SYNGIV-Jlvzg,SYNFAM-Deptypc,record_update,MD,2025-03-14
TTL-2YM1EZV0W0,VH-3394103305,SYNGIV-U,SYNFAM-Vlgpcxly,record_update,MD,2026-02-22
TTL-YH2TVR1CUQ,VH-0082241579,SYNGIV-Xtrfpw,SYNFAM-Ulnvdzy,title_record,NC,2022-01-15
TTL-OO7UNMQO49,VH-0082241579,SYNGIV-Optcocp,SYNFAM-Ulnvdzy,ownership_change,DE,2024-01-22
TTL-03Q1CTONNT,VH-0082241579,SYNGIV-Xtrfpw,SYNFAM-Ulnvdzy,record_update,DE,2024-01-22
TTL-6ZZIRSZK1O,VH-0082241579,SYNGIV-Xtrfpw,SYNFAM-Ulnvdzy,record_update,NC,2024-09-03
TTL-K97ET5CXHF,VH-2834389441,SYNGIV-Dlcl,SYNFAM-Rftyfa,title_record,DE,2020-09-07
TTL-DSX5JW7VQP,VH-2834389441,SYNGIV-Dlcl,SYNFAM-Rftyfa,ownership_change,MD,2023-08-04
TTL-PB7TV8H6AI,VH-2834389441,SYNGIV-Dlcl,SYNFAM-Rftyfa,record_update,DE,2025-03-14
TTL-7EFH6EY3YP,VH-2834389441,SYNGIV-Zwrl,SYNFAM-Rftyfa,record_update,MD,2026-05-07
TTL-MZNU9BLNCB,VH-4790812450,SYNGIV-C,SYNFAM-Dtdwz,title_record,PA,2021-09-12
TTL-343EA3YD6I,VH-4790812450,SYNGIV-Ytnzwp,SYNFAM-Olj,ownership_change,PA,2024-02-29
TTL-AFUU4LIAM7,VH-4790812450,SYNGIV-Czntz,SYNFAM-Dtdwz,record_update,DE,2025-04-17
TTL-OT7K0I3WRE,VH-4790812450,SYNGIV-Czntz,SYNFAM-Dtdwz,record_update,DE,2025-05-10
TTL-N57ESI8E0F,VH-4750681153,SYNGIV-Loctlyl,SYNFAM-Vtxmlww,title_record,DE,2021-03-14
TTL-IXVXDD80MW,VH-4750681153,SYNGIV-Upqq,SYNFAM-Vtxmlww,ownership_change,PA,2024-02-03
TTL-7U48VKIS46,VH-4750681153,SYNGIV-Upqq,SYNFAM-Vtxmlww,record_update,DE,2025-03-27
TTL-0FUUW91DI6,VH-4750681153,SYNGIV-Upqq,SYNFAM-Vtxmlww,record_update,PA,2025-12-24
TTL-3V5TY5WVKV,VH-2974873768,SYNGIV-Wpyyzi,SYNFAM-Gtlw,title_record,DE,2021-07-30
TTL-RCX72ECG3V,VH-2974873768,SYNGIV-Wpyyzi,SYNFAM-Gltw,ownership_change,DE,2024-02-08
TTL-TJW0V7O7KC,VH-2974873768,SYNGIV-Wpyyzi,SYNFAM-Gltw,record_update,MD,2024-09-15
TTL-BM4VAUS0IL,VH-2974873768,SYNGIV-Alectnt,SYNFAM-Uzypd,record_update,MD,2026-02-27
TTL-V3A0695HJ5,VH-9339854139,SYNGIV-ULJOPY,SYNFAM-Strfpcl,title_record,MD,2022-08-17
TTL-6748T68MVQ,VH-9339854139,SYNGIV-Ulxpd,SYNFAM-Szndszfpc,ownership_change,DE,2023-11-17
TTL-KG1II86Q58,VH-9339854139,SYNGIV-Ulxpd,SYNFAM-Szdnszfpc,record_update,MD,2025-05-17
TTL-KJU0GLCM3R,VH-9339854139,SYNGIV-Ulxpd,SYNFAM-Szdnszfpc,record_update,DE,2026-06-11
TTL-IG1ZL2UU25,VH-1357984865,SYNGIV-Lfmcpj,SYNFAM-Qzhwpc,title_record,DE,2022-02-13
TTL-SFADKGEV18,VH-1357984865,SYNGIV-Lfmcp,SYNFAM-Qzhwpc,ownership_change,VA,2023-11-27
TTL-ETOSFN1D9V,VH-1357984865,SYNGIV-Uzsy,SYNFAM-Qzhwpc,record_update,VA,2025-10-28
TTL-A7UEGW4IE5,VH-1357984865,SYNGIV-Lfmcpj,SYNFAM-Qzhwpc,record_update,DE,2026-07-03
TTL-5XXJQI2CKB,VH-4250436148,SYNGIV-Nlcw,SYNFAM-Hzzolco,title_record,NC,2020-08-07
TTL-7NB09P97VP,VH-4250436148,SYNGIV-Nlcw,SYNFAM-Hzzolco,ownership_change,DE,2023-10-14
TTL-A3CQ95Q12D,VH-4250436148,SYNGIV-Qwzjo,SYNFAM-Jzfyr,record_update,DE,2025-07-10
TTL-FQHSE76GZI,VH-4250436148,SYNGIV-Nlcw,SYNFAM-Hzzolco,record_update,NC,2026-04-28
TTL-EZBZQFAQNJ,VH-7812493406,SYNGIV-Depaspy,SYNFAM-Dpepwp,title_record,NJ,2022-03-11
TTL-1OZOLQZ9TN,VH-7812493406,SYNGIV-Depgpy,SYNFAM-Rzxpk,ownership_change,DE,2024-06-16
TTL-3J6XUDZJP4,VH-7812493406,SYNGIV-Depaspy,SYNFAM-Deppwp,record_update,NJ,2024-10-25
TTL-PJ78PAB8S4,VH-7812493406,SYNGIV-Depaspy,SYNFAM-Deppwp,record_update,DE,2026-03-18
TTL-RLYH2TFGWT,VH-5188897544,SYNGIV-pCol,SYNFAM-Ntyeczy,title_record,DE,2021-06-02
TTL-5FD1RMFGQ5,VH-5188897544,SYNGIV-Lfdety,SYNFAM-DLWPXP,ownership_change,DE,2023-12-07
TTL-OBBFJWN5TA,VH-5188897544,SYNGIV-Lfdet,SYNFAM-Dlwpxp,record_update,NJ,2023-12-21
TTL-YFYIU5Y5BR,VH-5188897544,SYNGIV-Lfdety,SYNFAM-Dlwpxp,record_update,NJ,2024-10-30
TTL-6TOYTZNCVQ,VH-5492322340,SYNGIV-Ylelwj,SYNFAM-Appcdzy,title_record,FL,2020-08-26
TTL-5AAU6T3461,VH-5492322340,SYNGIV-Ylelwj,SYNFAM-Appcdzy,ownership_change,FL,2024-07-13
TTL-CK1G7Z1FJU,VH-5492322340,SYNGIV-Y,SYNFAM-App cdzy,record_update,DE,2025-11-22
TTL-I7VN8Z955P,VH-5492322340,SYNGIV-RCPR,SYNFAM-Vlctx,record_update,DE,2026-03-29
TTL-V3XOY3X339,VH-4679801877,SYNGIV-E,SYNFAM-Mlfpc,title_record,NJ,2020-11-12
TTL-XADG4UF7S1,VH-4679801877,SYNGIV-Efnvpc,SYNFAM-Mpmzfe,ownership_change,DE,2024-07-26
TTL-Z3UHLEIIXO,VH-4679801877,SYNGIV-Elxt,SYNFAM-Mlfpc,record_update,NJ,2025-05-27
TTL-1JIJ4LGFI8,VH-4679801877,SYNGIV-Elxt,SYNFAM-Mlfpc,record_update,DE,2026-06-10
TTL-W18KKG13VK,VH-2537456054,SYNGIV-Xtclyol,SYNFAM-Xpwz,title_record,DE,2021-03-07
TTL-KI8KFIDNNB,VH-2537456054,SYNGIV-Slcgpj,SYNFAM-Mppepx,ownership_change,MD,2023-11-18
TTL-X7M13BBI1Y,VH-2537456054,SYNGIV-Xtclyol,SYNFAM-Xpwz,record_update,MD,2024-11-05
TTL-79U8VCDWFS,VH-2537456054,SYNGIV-Xtclyol,SYNFAM-Xpwz,record_update,DE,2025-09-01
TTL-I35P3W2Q6A,VH-5921065668,SYNGIV-Ldswpj,SYNFAM-Dlyozglw,title_record,DE,2021-01-21
TTL-2QY8ZVKYN6,VH-5921065668,SYNGIV-Ldswpj,SYNFAM-Dlyozglw,ownership_change,NY,2024-01-27
TTL-XC81V0KIG7,VH-5921065668,SYNGIV-Ulvzm,SYNFAM-Dlyozglw,record_update,NY,2025-07-20
TTL-AII0L872NO,VH-5921065668,SYNGIV-Ldswpj,SYNFAM-Dlyozglw,record_update,DE,2026-06-18
TTL-2QOJDGXN2Z,VH-4449393335,SYNGIV-Opmzcls,SYNFAM-Czdld,title_record,MD,2021-11-30
TTL-Z753ABAJ4A,VH-4449393335,SYNGIV-U,SYNFAM-Mczzvd,ownership_change,DE,2023-09-24
TTL-NTOQXR6660,VH-4449393335,SYNGIV-Opmzcls,SYNFAM-Czdld,record_update,MD,2024-12-03
TTL-CCGYXMD0LV,VH-4449393335,SYNGIV-Opmzcls,SYNFAM-Czdld,record_update,DE,2026-05-09
TTL-0F51NQINHS,VH-8698476608,SYNGIV-Uzsy,SYNFAM-Nzcepk,title_record,DE,2021-11-03
TTL-NZAFRQJ7ST,VH-8698476608,SYNGIV-Uzsy,SYNFAM-Nzcepk,ownership_change,DE,2024-04-14
TTL-6AH4P420H1,VH-8698476608,SYNGIV-U,SYNFAM-Wzapk,record_update,NJ,2025-09-02
TTL-1OEYNMP44B,VH-8698476608,SYNGIV-Uzsy,SYNFAM-Nzcepk,record_update,NJ,2026-01-03
TTL-FYN0MNTTSJ,VH-0879217373,SYNGIV-Xtjzv,SYNFAM-Wt,title_record,NJ,2022-05-19
TTL-9T1UCVUWJU,VH-0879217373,SYNGIV-Upddtnl,SYNFAM-WT,ownership_change,NJ,2023-12-24
TTL-SA0T5YQFLV,VH-0879217373,SYNGIV-Upddtnl,SYNFAM-WT,record_update,DE,2025-07-13
TTL-IRFG0LK9U5,VH-0879217373,SYNGIV-Upddtnl,SYNFAM-Wt,record_update,DE,2026-06-23
TTL-07VW09X4AZ,VH-0280092112,SYNGIV-Pwltyp,SYNFAM-Dtyrs,title_record,MD,2022-03-28
TTL-BNOMC5WMC7,VH-0280092112,SYNGIV-Pwltyp,SYNFAM-Dtyrs,ownership_change,MD,2024-07-22
TTL-R3S9AAVIMC,VH-0280092112,SYNGIV-P,SYNFAM-Qpccpww,record_update,,2025-07-10
TTL-PSI45UH8WX,VH-0280092112,SYNGIV-P,SYNFAM-Dtyrs,record_update,DE,2026-05-13
TTL-S8PI61R1GA,VH-5034586044,SYNGIV-U,SYNFAM-Qtrfpczl,title_record,DE,2022-01-03
TTL-WBXN2RNXCM,VH-5034586044,SYNGIV-Uzdpwjy,SYNFAM-Qtrfpczl,ownership_change,SC,2024-01-23
TTL-M3APCT6NU8,VH-5034586044,SYNGIV-Uzdpwjy,SYNFAM-Qtrfpczl,record_update,DE,2025-10-11
TTL-ZSNTDH94W2,VH-5034586044,SYNGIV-Uzdsfl,SYNFAM-Htwdzy,record_update,SC,2026-05-04
TTL-1P08VV73XA,VH-2733043464,SYNGIV-Olhy,SYNFAM-Spcylyopk,title_record,DE,2020-09-22
TTL-9RTSR5ESBG,VH-2733043464,SYNGIV-Olhy,SYNFAM-Spcylyopk,ownership_change,MD,2024-05-16
TTL-0OW9XDQGS5,VH-2733043464,SYNGIV-Olhy,SYNFAM-Spcylyopk,record_update,MD,2024-11-27
TTL-RNHTE5VT35,VH-2733043464,SYNGIV-Olgto,SYNFAM-LWT,record_update,DE,2026-03-29
TTL-HD2VBWR4OA,VH-2268594026,SYNGIV-Opmc,SYNFAM-Nspdepc,title_record,NY,2021-05-08
TTL-V066ID80SE,VH-2268594026,SYNGIV-Opmzcls,SYNFAM-Lwcpo,ownership_change,NY,2024-03-01
TTL-PXF3ASRRBC,VH-2268594026,SYNGIV-Opmcl,SYNFAM-Nsp depc,record_update,DE,2025-02-26
TTL-HEZRKD0M4N,VH-2268594026,SYNGIV-Opmcl,SYNFAM-Nspdepc,record_update,DE,2026-04-09
TTL-TP67J6AXQ3,VH-6714270802,SYNGIV-M,SYNFAM-Ozwpklw,title_record,PA,2021-03-24
TTL-SEHR0R9GRA,VH-6714270802,SYNGIV-Uldzy,SYNFAM-Xzcepydpy,ownership_change,DE,2024-01-19
TTL-XFLKROBHAM,VH-6714270802,SYNGIV-M,SYNFAM-Ozwpklw,record_update,DE,2024-11-01
TTL-AV4WBRCWPB,VH-6714270802,SYNGIV-Mpyulxty,SYNFAM-Ozwpklw,record_update,PA,2026-01-03
TTL-PEIJJFFQ7W,VH-7924783686,SYNGIV-Xlcrlcte,SYNFAM-Lwtazfc,title_record,MD,2020-10-22
TTL-DTUAVFNJ1G,VH-7924783686,SYNGIV-Xlrclcte,SYNFAM-Lwtazfc,ownership_change,DE,2024-06-07
TTL-D3GOWTS8VQ,VH-7924783686,SYNGIV-Xpwlytp,SYNFAM-Dnsxtoe,record_update,DE,2024-09-17
TTL-JVLCU2M27W,VH-7924783686,SYNGIV-Xlcrlctel,SYNFAM-Lwtazfc,record_update,MD,2026-01-16
TTL-PTXK461GOQ,VH-4691150307,SYNGIV-Lyeszy,SYNFAM-Xzxty,title_record,DE,2021-06-29
TTL-A01AIMEGNS,VH-4691150307,SYNGIV-Lyeszyj,SYNFAM-Xzxty,ownership_change,DE,2023-10-10
TTL-02K1F3D0M7,VH-4691150307,SYNGIV-Lolx,SYNFAM-Xpozwnv,record_update,SC,2025-01-03
TTL-YUC8GIGB15,VH-4691150307,SYNGIV-Lyeszyj,SYNFAM-Xzxty,record_update,SC,2026-04-24
TTL-HZYQ72MKLT,VH-1120159412,SYNGIV-B,SYNFAM-Eszxld,title_record,NJ,2022-02-18
TTL-R46EVUQRG7,VH-1120159412,SYNGIV-Bfpyety,SYNFAM-Klaze,ownership_change,NJ,2024-07-07
TTL-21LJJP4ZEX,VH-1120159412,SYNGIV-Bfpyety,SYNFAM-Eszxld,record_update,DE,2025-11-22
TTL-82AKED46BT,VH-1120159412,SYNGIV-Bfpyety,SYNFAM-Eszxld,record_update,DE,2026-03-19
TTL-M3U246XYV5,VH-6937150658,SYNGIV-Dldsl,SYNFAM-Xlihpww,title_record,NJ,2021-09-29
TTL-6GW36UAMJS,VH-6937150658,SYNGIV-Xtnslpw,SYNFAM-Mtyyd,ownership_change,DE,2024-02-01
TTL-F0UKDWT4NI,VH-6937150658,SYNGIV-Dldsl,SYNFAM-Xlihpww,record_update,DE,2024-12-16
TTL-JDSOD4JALD,VH-6937150658,SYNGIV-Dldsl,SYNFAM-Xlihpww,record_update,NJ,2026-01-02
TTL-B0TRY27YAH,VH-4989746868,SYNGIV-Uply,SYNFAM-Zcetk,title_record,DE,2021-10-16
TTL-2U7YEVRTRO,VH-4989746868,SYNGIV-Uply,SYNFAM-Zcetk,ownership_change,MD,2023-09-14
TTL-M3QR27L1LE,VH-4989746868,SYNGIV-Uply,SYNFAM-Zcetk,record_update,MD,2025-08-05
TTL-BTLZZOZBKZ,VH-4989746868,SYNGIV-Cpxj,SYNFAM-DXTES,record_update,DE,2026-03-11
TTL-FUK6VNXH1U,VH-2227225591,SYNGIV-Czmty,SYNFAM-Azhpww,title_record,MD,2021-10-29
TTL-RGUFSICQU7,VH-2227225591,SYNGIV-Czmty,SYNFAM-Azhpww,ownership_change,MD,2024-05-31
TTL-TI26QFWSJK,VH-2227225591,SYNGIV-Czmty,SYNFAM-Azhpww,record_update,DE,2025-01-27
TTL-P1HKBANRRA,VH-2227225591,SYNGIV-Xtrfpw,SYNFAM-AZHPWW,record_update,DE,2026-01-11
TTL-F84CJDZHNL,VH-2014736973,SYNGIV-Espol,SYNFAM-Htwopc,title_record,DE,2022-06-08
TTL-09FJ1CGUKN,VH-2014736973,SYNGIV-Espol,SYNFAM-Htowpc,ownership_change,DE,2024-01-08
TTL-2RGX2JEIUM,VH-2014736973,SYNGIV-sEpol,SYNFAM-Htwopc,record_update,MD,2025-02-06
TTL-ON72XXHWW8,VH-2014736973,SYNGIV-Vlt,SYNFAM-Nczdd,record_update,MD,2026-01-21
TTL-KMA9WUSKXO,VH-5641061957,SYNGIV-H,SYNFAM-Nlcepc,title_record,DE,2021-02-05
TTL-6XZ6S1B18Q,VH-5641061957,SYNGIV-Vtxmpcwtp,SYNFAM-Nlcepc,ownership_change,PA,2023-08-17
TTL-6PHVEO32U5,VH-5641061957,SYNGIV-Hytoj,SYNFAM-Nlcepc,record_update,PA,2025-08-12
TTL-PYEIHMNRFT,VH-5641061957,SYNGIV-Htyoj,SYNFAM-NLCEPC,record_update,DE,2026-07-15
TTL-9W1FN7937K,VH-3326288415,SYNGIV-Ufotes,SYNFAM-Xnnwpwwly,title_record,DE,2022-03-07
TTL-VU6X052ENI,VH-3326288415,SYNGIV-Ufotes,SYNFAM-Xnnwpwwly,ownership_change,NJ,2023-11-08
TTL-QC98PE80MZ,VH-3326288415,SYNGIV-U,SYNFAM-Xnnwpwwly,record_update,DE,2025-01-17
TTL-UBSXHYMH72,VH-3326288415,SYNGIV-Ulvzm,SYNFAM-Oczqxly,record_update,NJ,2026-05-23
TTL-0TC71QNW6G,VH-5800897892,SYNGIV-Xzcrly,SYNFAM-Wp,title_record,MD,2022-03-07
TTL-M9K0HQCYT3,VH-5800897892,SYNGIV-Xzcrly,SYNFAM-Wp,ownership_change,DE,2024-06-06
TTL-UQAWCV63E5,VH-5800897892,SYNGIV-Xzcrly,SYNFAM-Wp,record_update,MD,2025-07-14
TTL-PIGKSY9VRP,VH-5800897892,SYNGIV-Upddp,SYNFAM-Atwwdmfcj,record_update,DE,2025-12-30
TTL-IO2HTBGGPG,VH-8526500716,SYNGIV-Ozfr,SYNFAM-Apcpl,title_record,VA,2022-05-15
TTL-AU5ZK3T91W,VH-8526500716,SYNGIV-Ozfr,SYNFAM-Apcpl,ownership_change,VA,2024-01-06
TTL-279W91XCBZ,VH-8526500716,SYNGIV-Ilgtpy,SYNFAM-Apcpl,record_update,DE,2024-11-18
TTL-G1BR8A78IR,VH-8526500716,SYNGIV-Ozfr,SYNFAM-Apcpl,record_update,DE,2026-05-15
TTL-XJ0EZ5OMVE,VH-9364552908,SYNGIV-Wjotl,SYNFAM-Xpyozkl,title_record,DE,2020-08-29
TTL-K3WUU1TSLH,VH-9364552908,SYNGIV-Olytpwwp,SYNFAM-Kslz,ownership_change,PA,2024-05-06
TTL-1TEJ0UK6YD,VH-9364552908,SYNGIV-Wjotl,SYNFAM-Xpyozkl,record_update,PA,2025-10-09
TTL-NWRVF718HF,VH-9364552908,SYNGIV-Wjotl,SYNFAM-Xpyozkl,record_update,DE,2026-03-28
TTL-4XCENFTA5O,VH-2795288110,SYNGIV-Dtoypj,SYNFAM-Rzyklwpk,title_record,DE,2021-02-22
TTL-PMC647DR1P,VH-2795288110,SYNGIV-R,SYNFAM-Rzyklwpk,ownership_change,PA,2024-03-25
TTL-GN49H2U3WX,VH-2795288110,SYNGIV-RCLYE,SYNFAM-Rzyklwpk,record_update,PA,2025-06-17
TTL-RMHEF9EIR7,VH-2795288110,SYNGIV-Rclye,SYNFAM-Rzyklwpk,record_update,DE,2026-05-19
TTL-HXT24ROE1A,VH-6557630110,SYNGIV-Dsltyoj,SYNFAM-Apcpl,title_record,VA,2021-09-24
TTL-OJP5LRR6HM,VH-6557630110,SYNGIV-Dsltyoj,SYNFAM-Apcpl,ownership_change,DE,2023-12-13
TTL-WA3T8K0ZO2,VH-6557630110,SYNGIV-Ulnvtp,SYNFAM-Apcpl,record_update,VA,2025-06-10
TTL-510V54P4T8,VH-6557630110,SYNGIV-Dsltyoj,SYNFAM-Apcpl,record_update,DE,2026-04-12
TTL-F54E8GOCAS,VH-4295027800,SYNGIV-Cpmpnnl,SYNFAM-Szorpd,title_record,PA,2021-01-21
TTL-TYI5I2496B,VH-4295027800,SYNGIV-Czylwo,SYNFAM-Vwp typc,ownership_change,PA,2024-05-03
TTL-L3BD7ECLBC,VH-4295027800,SYNGIV-Czylwo,SYNFAM-Vwptypc,record_update,DE,2025-05-24
TTL-0V4VHWJO9W,VH-4295027800,SYNGIV-Czylwo,SYNFAM-Vwp typc,record_update,DE,2026-02-03
TTL-373TAT79LL,VH-1267426165,SYNGIV-Xlctl,SYNFAM-Vtyrdwpj,title_record,DE,2020-12-19
TTL-WBWD46JZJR,VH-1267426165,SYNGIV-Nzctyl,SYNFAM-Vtyrdwpj,ownership_change,MD,2024-07-03
TTL-5K48LQTHSE,VH-1267426165,SYNGIV-Nzctyl,SYNFAM-Vtyrdwpj,record_update,MD,2025-10-09
TTL-00HOTFU27P,VH-1267426165,SYNGIV-N,SYNFAM-Vtyrdwpj,record_update,DE,2026-05-12
TTL-1Q41Y7WH21,VH-6858863441,SYNGIV-Ncjdelw,SYNFAM-Delwpj,title_record,NJ,2021-02-20
TTL-MOEK9BP6BA,VH-6858863441,SYNGIV-Ncjdelw,SYNFAM-Delwpj,ownership_change,DE,2023-10-12
TTL-MOPEA7ZCN1,VH-6858863441,SYNGIV-Ncjdel,SYNFAM-Delwpj,record_update,NJ,2025-08-14
TTL-DKQZGK7UC9,VH-6858863441,SYNGIV-Clnspw,SYNFAM-Slww,record_update,DE,2026-03-09
TTL-GD2WXPF83M,VH-2243734868,SYNGIV-Eszxl,SYNFAM-Lwwpy,title_record,DE,2021-08-18
TTL-O5C637DDYQ,VH-2243734868,SYNGIV-Xlcety,SYNFAM-Lwwpy,ownership_change,DE,2024-01-20
TTL-LPW8GKQV11,VH-2243734868,SYNGIV-Xlcety,SYNFAM-Lwwpy,record_update,FL,2024-12-29
TTL-1YZ2LOXBYA,VH-2243734868,SYNGIV-Xlcety,SYNFAM-Lwwpy,record_update,FL,2026-07-13
TTL-38X7Y751ZU,VH-4418562284,SYNGIV-Vpyoctnv,SYNFAM-Xpyopk,title_record,DE,2020-08-24
TTL-TGTBSJL1S7,VH-4418562284,SYNGIV-Lyocpl,SYNFAM-NLFOWP,ownership_change,NY,2023-11-13
TTL-IW9K07C479,VH-4418562284,SYNGIV-Lyocpl,SYNFAM-Nlfowp,record_update,DE,2025-11-18
TTL-6KIRBT04UG,VH-4418562284,SYNGIV-Lyocpl,SYNFAM-Nlfowp,record_update,NY,2026-04-30
TTL-HG86CAUQVS,VH-6314434619,SYNGIV-Xlctls,SYNFAM-Dlyetlrz,title_record,DE,2022-03-23
TTL-XMYJJ1RM7B,VH-6314434619,SYNGIV-Lyeszyj,SYNFAM-Dlyetlrz,ownership_change,PA,2024-01-16
TTL-793XSVK8RM,VH-6314434619,SYNGIV-Xlctls,SYNFAM-Dlyetlrz,record_update,DE,2025-03-02
TTL-LP3EXG0QZR,VH-6314434619,SYNGIV-Xlctls,SYNFAM-Dlyetlrz,record_update,PA,2026-06-08
TTL-JDQN6EB0ML,VH-9113859693,SYNGIV-Zwtgtl,SYNFAM-Xzclwpd,title_record,NJ,2021-06-13
TTL-VIRWTNJ4FO,VH-9113859693,SYNGIV-Zwtgtl,SYNFAM-Xzclwpd,ownership_change,NJ,2023-12-06
TTL-KN2SQN83MA,VH-9113859693,SYNGIV-Zwtgtl,SYNFAM-Xzclwpd,record_update,DE,2024-10-06
TTL-KHGHDXARV4,VH-9113859693,SYNGIV-Dlcls,SYNFAM-Wlralnly,record_update,DE,2025-08-29
TTL-7YZHBI9V24,VH-5970663062,SYNGIV-Uzdtls,SYNFAM-Apyypww,title_record,MD,2022-06-13
TTL-QYHFWKMM78,VH-5970663062,SYNGIV-Olcwpyp,SYNFAM-Apyypww,ownership_change,MD,2023-10-25
TTL-TOQN7F4135,VH-5970663062,SYNGIV-Olcwpyp,SYNFAM-Apyypww,record_update,DE,2025-01-02
TTL-LT2Q9UQWHG,VH-5970663062,SYNGIV-Olcwpyp,SYNFAM-Apyypww,record_update,DE,2025-02-13
TTL-CQ8L8EA0QX,VH-8556173639,SYNGIV-Uzcrp,SYNFAM-Nzjyp,title_record,DE,2022-07-23
TTL-P1NFRQC8RU,VH-8556173639,SYNGIV-Uzcrp,SYNFAM-Nzjyp,ownership_change,PA,2023-09-04
TTL-MWL6BYAK17,VH-8556173639,SYNGIV-U,SYNFAM-Xldzy,record_update,DE,2025-10-30
TTL-BVP59VNQPJ,VH-8556173639,SYNGIV-Uzcrp,SYNFAM-Nzjyp,record_update,PA,2026-04-20
TTL-X9JYPVYN39,VH-7605617464,SYNGIV-Uzylesly,SYNFAM-Wtf,title_record,NC,2022-03-31
TTL-ZXIVKU9RZK,VH-7605617464,SYNGIV-Uzylesly,SYNFAM-Wtf,ownership_change,,2024-05-18
TTL-RQGUYTSBIN,VH-7605617464,SYNGIV-Uzylesly,SYNFAM-WTF,record_update,NC,2024-10-17
TTL-JWKHE8ATZP,VH-7605617464,SYNGIV-Wfnl,SYNFAM-Wtf,record_update,DE,2026-03-30
